uid,sample,gender,age_2,dwelling,industry,social_involve_1,social_involve_2,social_involve_3,social_involve_4,social_involve_5,social_involve_6,social_involve_7,social_involve_8,social_involve_9,volunteerdonate_1,volunteerdonate_2,volunteerdonate_3,volunteerdonate_4,volunteerdonate_5,volunteerdonate_6,volunteerdonate_7,volunteerdonate_8,volunteerdonate_9,volunteerdonate_freq,volunteerdonate_metd,snetwork_ethnicity,snetwork_nationality,snetwork_religion,snetwork_income,snetwork_education,snetwork_sorientation,close_sg_friends,sinteract_meal,sinteract_invitedfriend,sinteract_beeninvited,sinteract_participated,support_immedfam,support_extfam,support_worksch,support_friends,os_exp_1,os_exp_2,os_exp_3,os_exp_4,time_os,study_os,work_os,travel_os,migrate_os,retire_os,outcome_connection,outcome_future,pillarbeh_1,pillarbeh_2,pillarbeh_3,pillarbeh_4,pillarbeh_5,pillarbeh_6,pillarbeh_7,pillarbeh_8,pillarbeh_9,pillarbeh_10,pillarbeh_11,pillarbeh_12,pillarbeh_13,pillarbeh_14,pillarbeh_15,pillarvals_1,pillarvals_2,pillarvals_3,pillarvals_4,pillarvals_5,pillarvals_6,pillarvals_7,pillarvals_8,pillarvals_9,pillarvals_12,pillarvals_13,pillarvals_14,pillarvals_21,pillarvals_22,pillarvals_23,pillarvals_24,pillarvals_25,pillarvals_26,pillarvals_29,pillarvals_30,pillarvals_31,pillarvals_32,pillarvals_33,online_news,online_sm,online_shop,online_areasinterest,online_games,online_update,online_sharemedia,online_watchmedia,marital_stats,children,age_youngestchild,hh_grandparents,hh_parents,hh_siblings,hh_spouse,hh_children,hh_relatives,hh_helper,hh_mates,hh_employer_their_family,hh_grandchildren,hh_other,hh_none,highest_ed,institution_deg,occupation,mhi,mpi,weight
27,Resident (Citizen/PR),Female,25-34 years old,HDB 3 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,10 - A lot,10 - A lot,8,8,-,-,-,-,-,-,-,-,-,-,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,6,5,6,6,5,6,5,6,5,5,5,6,6,5,6,6,8,7,9,9,5,5,5,6,5,9,6,9,6,6,6,7,6,6,6,6,6,9,Less frequently,Daily,Less frequently,A few times a month,Less frequently,Less frequently,Daily,Daily,Married,Yes,6,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Sales and service staff (e.g. Chefs, Cooks, Cashiers, Waiters, Sales Assistant etc)","S$3,001-S$4,000","Below S$1,000",0.727891904
33,Resident (Citizen/PR),Female,25-34 years old,HDB 3 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Less frequently,Both,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,10 - A lot,10 - A lot,-,-,-,-,-,-,-,-,-,-,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,10 - Strongly agree,10 - Strongly agree,5,5,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,2,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,Less frequently,Daily,Daily,Daily,Less frequently,Less frequently,Less frequently,Daily,Married,No,-,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Polytechnic / diploma,-,Self-employed / Freelancer,"S$2,001-S$3,000","S$1,000-2,000",0.855263478
46,Resident (Citizen/PR),Female,45-54 years old,HDB 4 room,Not currently working,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,0 - Not at all,10 - A lot,-,-,-,-,-,-,-,-,-,-,8,7,5,8,7,6,5,5,5,5,8,7,7,6,5,5,7,6,7,5,5,7,4,6,5,6,5,5,8,8,7,9,7,5,8,8,8,5,7,7,A few times a week,A few times a week,Less frequently,A few times a week,Less frequently,A few times a month,A few times a month,A few times a month,Married,Yes,15,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Home maker,"S$3,001-S$4,000",-,0.857862718
50,Resident (Citizen/PR),Male,55-64 years old,HDB 4 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,6,5,6,-,-,-,-,-,-,-,-,-,-,7,7,5,6,5,6,5,7,5,5,5,6,5,5,5,5,5,6,7,5,6,6,6,5,7,5,7,5,6,5,6,6,7,5,6,7,5,5,6,7,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,More than 20 years old,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,Unemployed,"S$4,001-S$5,000",-,1.000318165
52,Resident (Citizen/PR),Female,25-34 years old,HDB 3 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,1-2 times a year,Informally i.e. not through any organization or organized group,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,10 - A lot,1,10 - A lot,10 - A lot,-,-,-,-,-,-,-,-,-,-,8,10 - I have a strong desire to be a part of shaping Singapore’s future,7,10 - Strongly agree,5,10 - Strongly agree,0 - Do not agree at all,6,10 - Strongly agree,10 - Strongly agree,0 - Do not agree at all,5,10 - Strongly agree,10 - Strongly agree,6,10 - Strongly agree,6,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,Daily,Daily,Less frequently,Daily,Daily,Daily,Less frequently,Daily,Married,Yes,11,No,No,No,Yes,Yes,No,No,No,No,No,No,No,"Secondary/ high school / ""O / N"" Levels",-,"Clerical support workers (e.g. Clerks, Customer service officers, Secretary, Receptionists etc)","S$6,001-S$7,000","S$2,001-S$3,000",0.855263478
70,Resident (Citizen/PR),Female,45-54 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,9,8,6,5,-,-,-,-,-,-,-,-,-,-,5,7,9,6,6,5,7,6,8,5,8,6,6,8,8,6,6,7,8,6,8,7,8,5,8,6,6,7,7,8,6,6,8,8,8,8,6,6,6,8,A few times a month,A few times a month,A few times a month,A few times a month,Less frequently,A few times a month,A few times a week,A few times a month,Married,No,-,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Primary school / PSLE,-,Home maker,Refuse,-,0.886406868
71,Resident (Citizen/PR),Male,45-54 years old,HDB 4 room,Wholesale and Retail Trade,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,-,-,-,-,-,-,-,-,-,-,10 - Very strong,10 - I have a strong desire to be a part of shaping Singapore’s future,5,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,5,5,10 - Strongly agree,7,10 - Strongly agree,10 - Strongly agree,10 - Strongly agree,5,10 - Strongly agree,7,10 - Strongly agree,7,7,7,6,7,8,4,7,7,7,7,7,7,7,7,5,10 - Strongly agree,7,5,7,10 - Strongly agree,Daily,Daily,Less frequently,Daily,Less frequently,A few times a week,Less frequently,Less frequently,Married,Yes,8,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Post graduate degree,Non-Singapore based university / institution (via online learning),Middle management (managerial),"S$5,001-S$6,000","S$4,001-S$5,000",0.892930588
79,Resident (Citizen/PR),Male,25-34 years old,HDB 4 room,"Professional, Scientific and Technical Activities",No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 - A lot,10 - A lot,10 - A lot,10 - A lot,-,-,-,-,-,-,-,-,-,-,8,8,9,9,8,8,5,8,8,8,5,8,9,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Daily,Daily,A few times a week,Daily,A few times a week,A few times a week,A few times a week,Daily,Married,Yes,Less than 1 year,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university (studied overseas most or all of the time),"Professional (Lawyer, Doctor, Engineer, Accountant, Nurse, etc)","$15,001-$20,000","S$9,001-S$10,000",0.836587115
82,Resident (Citizen/PR),Male,45-54 years old,HDB 4 room,Manufacturing,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,-,-,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,5,6,8,-,-,-,-,-,-,-,-,-,-,6,6,6,7,7,7,7,7,5,7,5,7,5,7,7,5,7,7,7,5,5,7,5,5,7,7,7,7,7,7,5,6,7,7,5,7,8,7,7,7,A few times a week,A few times a week,Less frequently,A few times a week,Less frequently,Less frequently,Less frequently,Less frequently,Married,Yes,12,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore university with a Singapore campus (studied locally most or all of the time),"Senior management (CEO, Director, GM)","S$5,001-S$6,000","S$3,001-S$4,000",1.018772925
91,Resident (Citizen/PR),Female,35-44 years old,HDB 3 room,Not currently working,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,1-2 times a year,Both,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,8,7,9,8,-,-,-,-,-,-,-,-,-,-,8,8,10 - Strongly agree,9,8,8,8,10 - Strongly agree,8,8,7,9,10 - Strongly agree,10 - Strongly agree,8,9,8,8,10 - Strongly agree,8,8,10 - Strongly agree,8,8,8,10 - Strongly agree,8,8,8,8,8,8,8,8,10 - Strongly agree,8,10 - Strongly agree,8,8,8,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Married,Yes,11,No,No,No,Yes,Yes,No,No,No,No,No,No,No,University / degree,Non-Singapore based university / institution (via online learning),Home maker,"S$3,001-S$4,000",-,0.749938938
